,SampleID,FFA.24.1.+Lipidomics,TAG44.0.FA16.0+Lipidomics,TAG44.1.FA14.0+Lipidomics,TAG44.2.FA14.0+Lipidomics,TAG45.0.FA15.0+Lipidomics,TAG46.0.FA12.0+Lipidomics,TAG46.0.FA16.0+Lipidomics,TAG46.1.FA16.0+Lipidomics,TAG46.1.FA18.1+Lipidomics,TAG46.2.FA18.2+Lipidomics,TAG47.0.FA14.0+Lipidomics,TAG47.0.FA16.0+Lipidomics,TAG47.0.FA17.0+Lipidomics,TAG47.1.FA15.0+Lipidomics,TAG47.1.FA16.0+Lipidomics,TAG47.1.FA18.1+Lipidomics,TAG47.2.FA15.0+Lipidomics,TAG47.2.FA18.2+Lipidomics,TAG48.0.FA14.0+Lipidomics,TAG48.0.FA18.0+Lipidomics,TAG48.1.FA14.1+Lipidomics,TAG48.1.FA16.0+Lipidomics,TAG48.1.FA18.1+Lipidomics,TAG48.2.FA16.0+Lipidomics,TAG48.2.FA18.2+Lipidomics,TAG48.3.FA16.0+Lipidomics,TAG48.4.FA16.1+Lipidomics,TAG48.4.FA18.1+Lipidomics,TAG48.4.FA18.2+Lipidomics,TAG49.0.FA15.0+Lipidomics,TAG49.0.FA16.0+Lipidomics,TAG49.0.FA17.0+Lipidomics,TAG49.0.FA18.0+Lipidomics,TAG49.1.FA14.0+Lipidomics,TAG49.1.FA16.0+Lipidomics,TAG49.1.FA17.0+Lipidomics,TAG49.1.FA18.1+Lipidomics,TAG49.2.FA16.0+Lipidomics,TAG49.2.FA16.1+Lipidomics,TAG49.2.FA17.0+Lipidomics,TAG49.2.FA18.2+Lipidomics,TAG50.0.FA16.0+Lipidomics,TAG50.0.FA18.0+Lipidomics,TAG50.1.FA18.1+Lipidomics,TAG50.2.FA16.1+Lipidomics,TAG50.3.FA18.1+Lipidomics,TAG50.4.FA18.2+Lipidomics,TAG51.0.FA16.0+Lipidomics,TAG51.0.FA17.0+Lipidomics,TAG51.0.FA18.0+Lipidomics,TAG51.1.FA15.0+Lipidomics,TAG51.1.FA16.0+Lipidomics,TAG51.1.FA17.0+Lipidomics,TAG51.1.FA18.1+Lipidomics,TAG51.2.FA17.0+Lipidomics,TAG51.4.FA18.2+Lipidomics,TAG52.0.FA16.0+Lipidomics,TAG52.0.FA18.0+Lipidomics,TAG52.1.FA16.1+Lipidomics,TAG52.1.FA18.0+Lipidomics,TAG52.1.FA18.1+Lipidomics,TAG52.2.FA18.1+Lipidomics,TAG52.2.FA20.2+Lipidomics,TAG52.3.FA18.1+Lipidomics,TAG52.3.FA18.2+Lipidomics,TAG52.3.FA20.0+Lipidomics,TAG52.4.FA18.2+Lipidomics,TAG52.4.FA20.0+Lipidomics,TAG52.7.FA16.0+Lipidomics,TAG52.7.FA18.1+Lipidomics,TAG52.8.FA16.1+Lipidomics,TAG52.8.FA18.2+Lipidomics,TAG53.1.FA17.0+Lipidomics,TAG53.1.FA18.0+Lipidomics,TAG53.2.FA16.0+Lipidomics,TAG53.2.FA17.0+Lipidomics,TAG53.2.FA18.1+Lipidomics,TAG53.3.FA18.2+Lipidomics,TAG53.4.FA18.2+Lipidomics,TAG54.1.FA18.1+Lipidomics,TAG54.1.FA20.0+Lipidomics,TAG54.2.FA18.1+Lipidomics,TAG54.2.FA20.1+Lipidomics,TAG54.3.FA18.2+Lipidomics,TAG54.3.FA20.2+Lipidomics,TAG54.4.FA18.2+Lipidomics,TAG54.4.FA22.1+Lipidomics,TAG56.3.FA20.1+Lipidomics,TAG56.5.FA22.4+Lipidomics,TAG56.7.FA16.0+Lipidomics,TAG56.8.FA16.0+Lipidomics,TAG56.8.FA18.1+Lipidomics,TAG56.8.FA22.6+Lipidomics,TAG58.10.FA18.2+Lipidomics,TAG58.8.FA18.1+Lipidomics,TAG58.8.FA22.6+Lipidomics,TAG58.9.FA18.1+Lipidomics,TAG58.9.FA18.2+Lipidomics,TAG58.9.FA22.6+Lipidomics,TAG60.12.FA22.6+Lipidomics
0,ZOZOW1T-E11,10.0525,0.244,0.1073,0.0247,0.0429,0.0537,1.738,1.0522,0.6336,0.2911,0.0683,0.3278,0.0961,0.1587,0.2352,0.1367,0.0599,0.0765,0.8479,0.7093,0.1606,8.6864,5.802,3.9181,2.4585,0.7155,0.1,0.0819,0.2325,0.1448,0.6221,0.2718,0.1282,0.1861,1.5573,0.2977,1.1209,0.5973,0.3865,0.1313,0.4595,7.8075,3.0126,22.6504,11.3032,6.4403,2.8863,0.3935,0.2734,0.222,0.3452,2.0874,1.6777,1.977,1.0788,0.5931,1.8187,2.472,0.2259,14.0208,21.9167,154.4634,0.2811,83.8058,71.9414,0.1788,35.6267,0.1317,0.4066,0.1695,0.0691,0.0691,0.5919,0.5348,0.8337,3.0632,5.814,2.5025,2.0191,2.3994,0.5298,19.3887,1.8557,9.5791,2.1816,25.0467,0.0965,0.7757,1.2727,1.8747,0.6472,0.5174,2.9956,0.1768,0.7286,1.7333,0.3811,0.3294,1.2646,0.2614
1,ZOZOW1T-E13,6.514,0.2674,0.1312,0.0444,0.0488,0.073,1.7013,1.1854,0.7808,0.3856,0.0654,0.3472,0.0966,0.1983,0.2236,0.1936,0.0839,0.0869,0.8702,0.6943,0.159,9.1834,6.4229,4.7516,3.0777,0.9272,0.1578,0.1109,0.4265,0.1519,0.6484,0.2527,0.1354,0.2088,1.7531,0.3379,1.2701,0.7707,0.4712,0.1637,0.6138,7.4602,2.8904,24.7757,14.4348,9.3462,4.5727,0.4303,0.2822,0.2269,0.3906,2.2518,1.878,2.2505,1.349,0.8745,1.7793,2.4445,0.2421,14.6335,24.9853,186.733,0.3303,113.6909,96.2283,0.2088,52.7628,0.1911,0.418,0.2029,0.1063,0.0974,0.6779,0.5775,0.9922,3.5168,6.9143,3.2756,2.7035,2.7335,0.5864,23.1423,2.1518,12.6867,2.7251,35.2608,0.1261,0.9162,1.6502,2.7499,0.9698,0.6522,4.4959,0.2552,1.0086,2.3332,0.534,0.4847,1.8426,0.3826
2,ZOZOW1T-E14,10.0095,0.2408,0.1106,0.036,0.0445,0.0636,1.4823,1.0733,0.7265,0.3378,0.0704,0.3052,0.0831,0.1793,0.2208,0.1479,0.0776,0.0738,0.7189,0.6146,0.1395,8.1144,5.7415,4.2015,2.7777,0.8016,0.1484,0.1106,0.3569,0.1479,0.5621,0.2289,0.1085,0.1725,1.6129,0.3132,1.1424,0.6901,0.4569,0.1378,0.5282,6.5108,2.4886,20.8631,12.786,8.4658,4.0612,0.3616,0.2492,0.1975,0.3247,1.9236,1.6273,1.9825,1.1691,0.7571,1.5378,2.1313,0.2268,12.4939,21.6426,163.2927,0.2938,99.9903,85.6676,0.1865,47.4045,0.1891,0.3667,0.1636,0.0848,0.078,0.579,0.4794,0.8825,3.0252,5.8754,2.8091,2.3996,2.1525,0.4909,19.4155,1.8248,10.7149,2.3941,29.6192,0.1098,0.7838,1.4132,2.4865,0.9071,0.624,4.0438,0.2391,0.9478,2.0813,0.482,0.415,1.5556,0.3722
3,ZOZOW1T-E15,6.1474,0.2762,0.1438,0.039,0.0478,0.0721,1.6868,1.2349,0.848,0.454,0.0675,0.3416,0.1002,0.2159,0.2444,0.215,0.0993,0.1136,0.9067,0.7088,0.1811,10.2063,7.1433,5.5957,3.693,1.0681,0.1836,0.1337,0.472,0.1761,0.695,0.2859,0.1237,0.2062,1.8729,0.3479,1.4353,0.936,0.5269,0.1823,0.7449,7.6254,2.8609,26.7196,16.7204,10.9277,5.4821,0.4284,0.2792,0.2364,0.4037,2.3411,1.9848,2.4355,1.5241,1.0299,1.8771,2.5021,0.2549,15.5064,26.725,209.0519,0.3341,129.5796,109.9871,0.2515,62.2432,0.2419,0.4448,0.1958,0.0922,0.1132,0.7084,0.5558,1.0719,3.825,7.2514,3.5408,2.9775,2.8274,0.6242,23.9178,2.2716,13.9433,2.8806,38.5418,0.1304,1.001,1.7497,3.2021,1.115,0.7797,4.9111,0.2959,1.0639,2.4707,0.5789,0.5181,1.9865,0.3995
4,ZOBX723-E11,10.3242,0.1336,0.0567,0.0201,0.029,0.041,0.927,0.7666,0.594,0.2815,0.0477,0.2812,0.0383,0.2057,0.1959,0.1942,0.0971,0.0762,0.6344,0.3678,0.088,9.5746,6.5239,4.6017,3.3416,0.69,0.0978,0.0699,0.2728,0.1716,0.5428,0.2001,0.1239,0.1225,2.1742,0.2342,1.9403,1.0892,0.5989,0.0999,1.0011,8.3859,2.4491,39.9548,21.5955,10.2135,4.7154,0.2596,0.2043,0.1601,0.4593,1.9525,1.696,2.3903,1.3474,1.2872,1.5008,2.0364,0.2349,15.7679,31.9868,265.6409,0.3191,167.3631,145.4885,0.3045,75.0964,0.2728,0.2683,0.1653,0.0619,0.1002,0.4983,0.3838,0.7478,3.1482,5.8606,2.9676,2.2897,2.4692,0.4719,25.4323,2.0879,14.0799,2.0169,37.9863,0.1409,0.998,1.3074,2.2076,0.9023,0.3295,4.7537,0.1928,0.8571,2.5277,0.4301,0.4367,1.9111,0.1743
5,ZOBX723-E12,7.0163,0.1033,0.041,0.020384217,0.0279,0.0444,0.7071,0.6465,0.5177,0.2472,0.0437,0.2842,0.037,0.1779,0.1776,0.1853,0.0878,0.0854,0.5719,0.3243,0.078,8.5076,5.8834,4.1026,2.9515,0.6095,0.0976,0.0683,0.218,0.1695,0.4918,0.1712,0.1063,0.114,2.0321,0.2291,1.8488,1.0021,0.6173,0.0972,0.9315,7.4325,2.2151,39.1108,20.3363,9.2523,4.2906,0.224,0.1924,0.1504,0.4006,1.9336,1.5975,2.3066,1.289,1.3237,1.3832,1.8242,0.2193,14.9908,31.3786,254.8525,0.3175,158.8455,140.5947,0.3273,74.8976,0.2775,0.252,0.1672,0.0639,0.0891,0.4595,0.369,0.7279,2.934,5.6479,2.8331,2.2535,2.2538,0.4111,23.0039,1.9857,13.1184,1.9554,34.2637,0.107,0.8867,1.289,2.2464,0.9567,0.3455,5.2497,0.2176,0.8817,2.6238,0.4205,0.4242,2.0284,0.1978
6,ZOBX723-E13,6.9116,0.079,0.0288,0.0132,0.02219945,0.0337,0.6389,0.5351,0.4093,0.1965,0.0297,0.2342,0.04,0.1806,0.139,0.1448,0.0625,0.0726,0.4724,0.2869,0.0799,7.806,5.1943,3.6471,2.5796,0.5413,0.0741,0.0582,0.2005,0.1531,0.4157,0.1448,0.0928,0.1029,1.7842,0.1959,1.6694,0.8756,0.477,0.083,0.8373,6.6669,1.8953,34.2234,18.2354,8.1459,3.8917,0.2275,0.1751,0.1283,0.3612,1.6804,1.4199,2.0242,1.1401,1.1441,1.1946,1.6669,0.199,13.4982,28.1768,231.7691,0.2865,144.0555,126.9859,0.2896,67.3266,0.2581,0.2008,0.1518,0.045,0.0784,0.4209,0.3343,0.6711,2.759,5.1827,2.5355,2.0493,1.967,0.3888,21.2038,1.805,11.6941,1.7548,31.1935,0.1084,0.7929,1.1787,2.1363,0.8694,0.3181,4.5827,0.2057,0.8186,2.361,0.4179,0.4026,1.831,0.1742
7,ZOBX723-E14,9.8699,0.0929,0.0384,0.0162,0.0166,0.0317,0.6282,0.5765,0.4325,0.2169,0.027,0.2312,0.0301,0.149,0.163,0.1471,0.0777,0.0764,0.4947,0.293,0.0691,7.6555,5.1703,3.7179,2.646,0.5302,0.0882,0.058,0.2137,0.1421,0.4142,0.1484,0.085,0.0996,1.7391,0.1836,1.6312,0.8822,0.489,0.0764,0.8419,6.6331,1.8697,33.4488,18.0598,8.3344,3.898,0.2042,0.1627,0.1173,0.3698,1.6963,1.3208,1.9861,1.1308,1.1197,1.2047,1.6347,0.1988,13.0442,27.2003,230.0614,0.281,141.9487,124.3102,0.2822,66.1167,0.2518,0.2109,0.1297,0.0469,0.0897,0.3786,0.3111,0.6488,2.6302,5.0786,2.5537,2.0238,1.9379,0.3647,20.3408,1.6699,11.4793,1.6991,30.909,0.1183,0.763,1.2057,2.0045,0.8575,0.3013,4.7374,0.1896,0.8134,2.3777,0.3736,0.366,1.8114,0.1953
8,ZOBX723-E15,11.028,0.0894,0.0528,0.0205,0.0227,0.0333,0.7345,0.6442,0.498,0.2454,0.0317,0.2454,0.0406,0.1817,0.1735,0.1593,0.0838,0.0861,0.4878,0.2995,0.0834,8.4737,5.7285,4.1199,2.9843,0.6059,0.094,0.0544,0.2269,0.1398,0.4294,0.1501,0.0887,0.1151,1.8312,0.2065,1.6314,0.9225,0.5363,0.0864,0.906,6.6946,1.9028,34.919,18.9957,8.8445,4.2634,0.2111,0.1784,0.1178,0.3684,1.6779,1.4585,1.9922,1.129,1.2273,1.1821,1.6205,0.1916,12.9106,26.6989,227.7492,0.248,144.845,126.5305,0.2846,67.8894,0.2573,0.2154,0.1422,0.0455,0.0745,0.3968,0.2959,0.6366,2.5928,4.998,2.5611,1.9968,1.8546,0.3467,19.6395,1.6788,11.0497,1.6996,30.8459,0.0993,0.7566,1.1277,2.0229,0.7952,0.3084,4.1819,0.1831,0.7589,2.1614,0.3638,0.3734,1.7135,0.1659
9,ZN9YTFN-E11,33.9217,0.0985,0.048,0.02768213,0.092315791,0.0398,0.4859,0.5706,0.5175,0.2077,0.012986187,0.1628,0.0446,0.1342,0.1363,0.1521,0.0674,0.0837,0.3869,0.2016,0.0653,6.4535,4.925,3.3536,2.7217,0.4409,0.0898,0.0638,0.2975,0.1072,0.3123,0.1138,0.0592,0.1041,1.4959,0.1791,1.3228,0.8033,0.4154,0.0725,0.7278,5.3378,1.2626,31.6366,18.0514,10.5695,5.471,0.1985,0.1266,0.0847,0.3935,1.43,1.3101,1.8858,1.1248,1.526,1.0222,1.452,0.2108,12.7207,30.7557,289.0613,0.2082,201.5101,174.3969,0.3874,106.9724,0.4027,0.2062,0.1975,0.0575,0.0949,0.4409,0.3205,0.5925,3.2331,6.108,3.4806,3.2295,3.0473,0.6619,34.6559,2.8105,21.3656,1.65,64.8706,0.2297,2.1001,0.8247,4.5121,1.9838,1.675,11.3029,0.6905,2.6176,7.66,1.3524,1.3371,6.4759,0.8554
