,SampleID,family_Desulfovibrionaceae+gut,genus_Prevotella+gut,order_Desulfovibrionales+gut,class_Verrucomicrobiae+gut,family_Coriobacteriaceae+gut,class_Actinobacteria+gut,order_Selenomonadales+gut,genus_unclassified_Clostridiales+gut,genus_Lachnospiracea_incertae_sedis+gut,genus_Bilophila+gut,order_Burkholderiales+gut,family_unclassified_Bacteria+gut,order_Bacteroidales+gut,genus_Collinsella+gut,genus_Clostridium.XI+gut,family_unclassified_Firmicutes+gut,order_Erysipelotrichales+gut,genus_Bacteroides+gut,order_Verrucomicrobiales+gut,genus_unclassified_Porphyromonadaceae+gut,family_Acidaminococcaceae+gut,order_unclassified_Bacteria+gut,order_Clostridiales+gut,genus_Alistipes+gut,genus_Blautia+gut,genus_unclassified_Firmicutes+gut,order_unclassified_Firmicutes+gut,genus_unclassified_Bacteria+gut,family_Enterobacteriaceae+gut,class_Clostridia+gut,family_Verrucomicrobiaceae+gut,genus_Anaerovorax+gut,class_Bacteroidia+gut,family_Erysipelotrichaceae+gut,genus_Streptococcus+gut,genus_unclassified_Clostridiales_Incertae.Sedis.XIII+gut,order_Enterobacteriales+gut,genus_Akkermansia+gut,class_unclassified_Bacteria+gut,family_Sutterellaceae+gut,order_Coriobacteriales+gut,family_Veillonellaceae+gut,genus_Clostridium.sensu.stricto+gut,order_Clostridiales+gut,class_Clostridia+gut,phylum_Firmicutes+gut
0,ZOZOW1T-1010,0.0,0.0,0.0,0.015835148,0.000449469,0.000449469,0.000968088,0.007883,0.035957542,0.0,0.001936175,0.09743111,0.650866093,3.46e-05,0.00591225,0.01569685,0.002662241,0.589288801,0.015835148,0.0,0.000968088,0.09743111,0.205614909,0.020571863,0.00985375,0.01569685,0.01569685,0.09743111,3.46e-05,0.205614909,0.015835148,0.000484044,0.650866093,0.002662241,0.000138298,3.46e-05,3.46e-05,0.015835148,0.09743111,0.001867026,0.000449469,0.0,0.000484044,0.205614909,0.205614909,0.225080386
1,ZOZOW1T-1011,7.03e-05,3.51e-05,7.03e-05,0.008186354,0.000175673,0.000175673,0.000948633,0.008713372,0.021923969,0.0,0.001510786,0.070901553,0.730517883,0.0,0.003302649,0.008607969,0.001054037,0.625008784,0.008186354,0.0,0.000913499,0.070901553,0.174126906,0.026034713,0.004145879,0.008607969,0.008607969,0.070901553,0.0,0.174126906,0.008186354,0.000210807,0.730517883,0.001054037,3.51e-05,0.000140538,0.0,0.008186354,0.070901553,0.001405383,0.000175673,3.51e-05,0.000316211,0.174126906,0.174126906,0.184807814
2,ZOZOW1T-1012,0.0,0.000159324,0.0,0.002788178,0.000597467,0.000597467,0.000995778,0.022902892,0.044730343,0.0,7.97e-05,0.020911336,0.178363738,0.000199156,0.007408588,0.000876285,0.001832231,0.163705887,0.002788178,0.0,0.000916116,0.020911336,0.79299769,0.004062774,0.019835896,0.000876285,0.000876285,0.020911336,3.98e-05,0.793037521,0.002788178,0.00035848,0.178363738,0.001832231,3.98e-05,0.000517805,3.98e-05,0.002788178,0.020911336,0.0,0.000597467,7.97e-05,7.97e-05,0.79299769,0.793037521,0.796861308
3,ZOZOW1T-1015,8.62e-05,0.0,8.62e-05,0.001206862,5.75e-05,5.75e-05,0.000603431,0.013045602,0.034481768,0.0,0.001178127,0.024970547,0.740725841,2.87e-05,0.004338956,0.007729663,0.004338956,0.691043361,0.001206862,2.87e-05,0.000574696,0.024970547,0.213815695,0.009367547,0.013275481,0.007729663,0.007729663,0.024970547,0.0,0.213815695,0.001206862,0.000316083,0.740725841,0.004338956,2.87e-05,8.62e-05,0.0,0.001206862,0.024970547,0.001063188,5.75e-05,2.87e-05,0.001839028,0.213815695,0.213815695,0.226516479
4,ZOZOW1T-1021,0.0,0.0,0.0,5.86e-05,0.001054111,0.001112673,0.01358632,0.006207543,0.045736706,0.0,0.011595221,0.041286015,0.554579527,0.000878426,0.000936988,0.000995549,0.001171234,0.488053408,5.86e-05,0.015753104,0.013176388,0.041286015,0.348383696,0.010248302,0.008784259,0.000995549,0.000995549,0.041286015,0.0,0.348383696,5.86e-05,0.000292809,0.554579527,0.001171234,5.86e-05,0.000117123,0.0,5.86e-05,0.041286015,0.01153666,0.001054111,0.000409932,0.0,0.348383696,0.348383696,0.364195362
5,ZOZOW1T-1022,0.000235793,0.008724357,0.000235793,0.000282952,0.001603395,0.001603395,0.01367602,0.022258901,0.044564961,9.43e-05,0.016505541,0.074935157,0.395001179,0.00108465,0.002027824,0.010280594,0.002593728,0.303937751,0.000282952,0.005376091,0.013440226,0.074935157,0.46078755,0.022541853,0.009997642,0.010280594,0.010280594,0.074935157,0.000141476,0.461447772,0.000282952,0.000235793,0.395001179,0.002593728,4.72e-05,0.0,0.000141476,0.000282952,0.074935157,0.016128272,0.001603395,0.000235793,4.72e-05,0.46078755,0.461447772,0.488045272
6,ZOZOW1T-1022-1,0.0,0.0,0.0,0.0,0.00127551,0.00127551,0.009903962,0.007503001,0.06490096,0.0,0.006677671,0.027686074,0.477566026,0.00120048,0.0015006,0.00210084,0.00262605,0.431047419,0.0,0.003601441,0.009528812,0.027686074,0.470663265,0.008928571,0.017782113,0.00210084,0.00210084,0.027686074,0.0,0.470663265,0.0,0.00015006,0.477566026,0.00262605,0.0,0.0,0.0,0.0,0.027686074,0.006677671,0.00127551,0.00037515,0.007503001,0.470663265,0.470663265,0.485444178
7,ZOZOW1T-1023,6.98e-05,6.98e-05,6.98e-05,0.0,0.001046609,0.001046609,0.00851242,0.009210159,0.045701926,0.0,0.012698856,0.02874686,0.565308401,0.000837287,0.001325705,0.015629361,0.000907061,0.488975719,0.0,0.004116662,0.00851242,0.02874686,0.364359475,0.013326821,0.011791795,0.015629361,0.015629361,0.02874686,0.000209322,0.364359475,0.0,0.0,0.565308401,0.000907061,0.0,0.000139548,0.000209322,0.0,0.02874686,0.012698856,0.001046609,0.0,0.000139548,0.364359475,0.364359475,0.389478091
8,ZOZOW1T-1024-1,0.0,0.0,0.0,0.0,0.000303767,0.000303767,0.008687728,0.004009721,0.119623329,0.0,0.009234508,0.02126367,0.559173755,0.0,0.0,0.000607533,0.00164034,0.505771567,0.0,6.08e-05,0.008687728,0.02126367,0.390886999,0.002794654,0.017436209,0.000607533,0.000607533,0.02126367,0.0,0.390886999,0.0,0.000121507,0.559173755,0.00164034,0.0,0.000121507,0.0,0.0,0.02126367,0.009234508,0.000303767,0.0,0.0,0.390886999,0.390886999,0.40200486
9,ZOZOW1T-1025,0.0,0.0,0.0,0.0,0.000415261,0.000415261,0.007682325,0.007215157,0.128990397,0.0,0.010329613,0.016818064,0.57638204,0.0,0.0,0.000155723,0.001712951,0.499506878,0.0,0.000363353,0.007682325,0.016818064,0.378458344,0.004204516,0.015468466,0.000155723,0.000155723,0.016818064,0.0,0.378562159,0.0,0.000259538,0.57638204,0.001712951,0.000103815,5.19e-05,0.0,0.0,0.016818064,0.010329613,0.000415261,0.0,0.0,0.378458344,0.378562159,0.388216974
