,SampleID,C16H10O8+Metabolomics,C12H19N3O7+Metabolomics,Proline betaine+Metabolomics,Glycerophosphocholine+Metabolomics,C8H16N2O4(2)+Metabolomics,LysoPC(18:1)+Metabolomics,C26H44O5+Metabolomics,C20H12N4O7+Metabolomics,C12H16O6+Metabolomics,C8H12O6+Metabolomics,C19H28N6O5S+Metabolomics,Oxindole+Metabolomics,Glycine+Metabolomics,C16H15NO5+Metabolomics,C29H41N7O5(1)+Metabolomics,6-(alpha-D-Glucosaminyl)-1D-myo-inositol+Metabolomics,C12H22N6O2+Metabolomics,C19H34O15+Metabolomics,C14:1 AC (Tetradecenoylcarnitine)+Metabolomics,"C10:0,OH AC (Hydroxydecanoyl carnitine)+Metabolomics",C-glycosyltryptophan+Metabolomics,C13H16N6O3+Metabolomics,C30H48O5+Metabolomics,C28H46O4(1)+Metabolomics,gamma-glutamylhistidine+Metabolomics,C28H46O5(1)+Metabolomics,C3:1 AC (Propenoylcarnitine)+Metabolomics,C13H18O5_pos+Metabolomics,Nicotinamide+Metabolomics,C26H36O10(1)+Metabolomics,Hydroxyhippurate+Metabolomics,C7H10N2O3+Metabolomics,C21H20O11+Metabolomics,Tauroursodeoxycholic acid+Metabolomics,C16H24O5_pos+Metabolomics,C12H19N3O9+Metabolomics,C28H46O5(2)+Metabolomics,C30H52O6+Metabolomics,C8H12N2O5+Metabolomics,"C14:2,OH FA (Hydroxy-tetradecadienoic acid)+Metabolomics",Glucaric acid+Metabolomics,"C18:3,OH FA (Hydroxylinolenic acid)+Metabolomics",C23H32O7+Metabolomics,C10H17N7O5+Metabolomics,Hippuric acid+Metabolomics,C16H26N4O11+Metabolomics,C15H20N2O9+Metabolomics,C33H42N2O11+Metabolomics,C26H36O10(2)+Metabolomics,C17H18N2O4(3)+Metabolomics,C28H46O4(2)+Metabolomics,Cys-Pro or Pro-Cys+Metabolomics,C26H48O5+Metabolomics,Ketodeoxycholic acid(3)+Metabolomics,Pantothenic acid(1)+Metabolomics,C26H42O4+Metabolomics,Taurocholic acid+Metabolomics,C11H23N3O3+Metabolomics,C28H48O5+Metabolomics,C24:4 FA (Tetracosatetraenoic acid)+Metabolomics,C27H48O4+Metabolomics,C6H11NO4(1)+Metabolomics,C6H14O6+Metabolomics,C10:0 AC (Decanoylcarnitine)+Metabolomics,C16H14N2O3+Metabolomics,LysoPG(18:0)+Metabolomics,C7H12O9S2+Metabolomics,C6H11NO4(2)+Metabolomics,C19:1 FA (Nonadecaenoic acid)+Metabolomics,"C14:0,OH FA (Hydroxy-myristic acid)+Metabolomics",C19H21NO3(2)+Metabolomics,C11H14N2O3+Metabolomics,C6H10N2O4(2)+Metabolomics,Hydroxy-cholenoic acid+Metabolomics,C7H12N2O3(1)+Metabolomics,C5H10O5(3)+Metabolomics,C18H12N4O6+Metabolomics,C16H16N2O3+Metabolomics,Amino-Hydroxy-benzoic acid+Metabolomics,C17:1 FA (Heptadecenoic acid)+Metabolomics,2-methoxyacetaminophen glucuronide+Metabolomics,C8H17NO7+Metabolomics,Tryptophan betaine(2)+Metabolomics,"C18:1,OH FA(1) (Hydroxy-oleic acid)+Metabolomics",C20H24N2O6+Metabolomics,N-(1-Deoxy-1-fructosyl)methionine+Metabolomics,C24H36O3+Metabolomics,C28H50O4+Metabolomics,C16:2 FA (Hexadecadienoic acid)+Metabolomics,"C17:3,OH FA (Hydroxy-septadecatrienoic acid)+Metabolomics",C16:2 AC (Hexadecadienoylcarnitine)+Metabolomics,C11H11NO2+Metabolomics,C7H8N4O3(1)+Metabolomics,"C18:0,OH FA (Hydroxy-octadecanoic acid)+Metabolomics",C8H12N2O3+Metabolomics,C12H14O5_pos+Metabolomics,LysoPC(18:2)+Metabolomics,C9H18O9+Metabolomics,C12H18N2O2(2)+Metabolomics,C30H50O5+Metabolomics,C8H16O8+Metabolomics,"C14:1,OH FA (Hydroxy-tetradecenoic acid)+Metabolomics","C11:0,DC FA (Undecanedioic acid)+Metabolomics",C22:4 FA (Adrenic acid)+Metabolomics,LysoPC(18:0)+Metabolomics,C5H10N2O2S+Metabolomics,C15:0 FA (Pentadecanoic acid)+Metabolomics,C28H48O4+Metabolomics,C16H16N2O4(2)+Metabolomics,C9H16O4+Metabolomics,N-(1-Deoxy-1-fructosyl)leucine|N-(1-Deoxy-1-fructosyl)isoleucine+Metabolomics,LysoPC(20:5)+Metabolomics
0,ZOZOW1T-E11,5720239.466,627305.3505,6435942.3,24096340.87,428118.3296,127463162.4,217357.1819,194380.129,143227.7899,736426.7011,1340485.923,283929.7351,133352.874,203417.8525,325860.0954,10437749.85,31369.16763,460302.0576,1005852.854,411263.7978,9043949.7,615631.91,179844.7392,4116620.777,1458275.291,284218.4512,262466.2808,842922.7236,67432.95755,6544385.624,45153.15438,2772064.599,51810.72719,484749.7783,368503.9322,88738.62519,769244.2802,326379.5171,1012178.955,221986.2124,785434.5533,363047.1384,61708.44599,609639.7109,10959284.81,2136287.078,92684.91501,7938737.744,5083413.67,1068274.729,2278320.32,4036531.595,618967.0697,294454.6042,468683.7863,430119.3126,300203.6037,127366.3667,2160161.152,77355.22663,424406.0247,508356.1583,305426.6809,1129007.19,711056.005,41187.41937,979532.5758,131086.019,422712.185,211254.7825,190439.6521,370661.4346,105338.9284,1749415.233,184850.6001,554496.8065,81020.86411,128909.4723,35412.6021,987868.8505,145265.1339,662340.4795,2060173.894,1144834.464,187365.5107,2771619.053,1133188.227,1202270.903,347513.8025,432967.3774,74983.53968,138487.9264,612788.1004,691710.2752,172932.5201,1720600.843,241380132.3,647066.795,344827.0437,1588958.148,3878178.496,468081.0834,17321.88671,1712774.433,55585619.85,1282794.996,292935.7341,2848979.337,814844.2665,56019.71098,21276152.19,6894043.561
1,ZOZOW1T-E12,3515103.312,63708.39079,6164721.416,2968691.175,1587633.551,88042927.13,368411.4113,207671.2175,155887.3859,7654.956041,1114471.847,284776.2516,97443.33126,145883.3609,511638.0977,431954.9517,70453.34467,407376.175,997452.2435,626057.2192,232680.1213,24597.04782,252258.3489,2342796.929,232581.133,404801.4835,6576.216466,1365874.573,268336.0812,3783213.395,34788.00465,2118974.325,54304.82328,329696.6167,14448.75888,185134.8674,1039271.636,470121.9387,3666904.969,312034.7589,73923.16803,582279.8101,42616.80458,23557.75418,6543593.181,7464200.999,99468.49176,7606781.165,4761456.966,177154.9759,840532.1658,1035304.93,1155993.266,471264.5833,737105.9843,543017.3631,240197.1497,212025.8938,3279272.666,16364.39281,283028.6726,131794.922,251442.7279,1595808.791,106127.1759,74526.16066,667110.2942,1714327.295,113597.8488,251720.2127,196845.0666,189758.3336,638238.2765,875086.6869,74712.74957,500340.678,191.1684095,35989.97253,44834.71662,453934.0824,134591.1647,142987.029,1998828.928,2174318.97,6073.260595,120247.5584,537620.5566,642775.674,257413.3967,437487.0433,88998.41173,143165.3229,712546.7911,1101322.476,49154.42773,2174579.758,206594583.8,1162547.849,3095.694843,2003866.356,3300051.248,616329.405,34052.12223,453489.1348,34816733.33,159789.1723,236168.0543,1790418.31,263389.1404,58018.23423,802499.3022,5120982.825
2,ZOZOW1T-E13,5223043.245,64063.6289,5428028.745,5208376.359,868365.6242,117391066.5,297683.8672,218175.612,148771.514,120712.2628,1279078.305,299797.6955,130793.9522,214421.1407,210952.3579,2207379.728,56703.69654,471304.8475,1050387.824,476123.0884,1894966.322,204756.6508,192264.6789,4650463.152,985422.6876,314157.5211,40854.82796,1447856.96,170778.4594,4634660.157,31716.82037,2239051.602,57602.07623,2527478.713,85588.5193,131122.6291,994348.1643,373119.2494,879526.1441,241272.2066,305240.8495,478570.3603,46290.29491,208221.7996,5615539.458,3746858.267,106565.9561,7924662.222,5707698.92,578369.532,2312893.337,5205130.171,889825.0466,367093.0939,921792.5239,585168.3478,585786.3161,189796.9452,2922480.446,32439.41875,459700.7108,194104.8054,258479.6134,1085236.808,343128.8288,69741.5312,906900.3188,319895.2644,319096.7048,276260.4073,208532.6026,322239.129,162519.479,781792.5924,236286.6017,490558.7591,48342.0376,102080.9988,52705.25965,1107187.931,137925.8979,238315.0136,1948344.7,1811111.35,57506.54445,1083225.906,690247.2196,1354719.034,460182.4216,424102.9129,106197.3542,146958.4571,479025.6746,1065348.809,235726.4193,2224669.724,264753553.1,2300162.73,111111.3779,2118629.113,4541598.583,492201.4959,22945.03207,1089654.833,40021001.0,930026.2665,422838.1145,3245786.921,392017.5527,91415.81569,6862087.505,7631383.198
3,ZOZOW1T-E14,5176129.511,151423.5509,5593788.373,6263231.812,565021.591,146943973.9,350937.1871,285367.0911,167349.5008,805800.1453,1823399.096,181877.3963,105350.0816,186034.3336,610667.2973,4620840.003,50950.21936,479863.0002,814378.691,409762.2951,4138157.035,443887.1475,271583.9995,5583811.315,2546178.172,392028.3838,88695.1862,1151614.652,143926.2514,5663217.766,33634.462,2279582.339,69214.12107,1150566.824,277650.7797,109686.3365,1143373.802,490212.4839,819563.782,237649.985,460865.6411,579822.8908,68104.2998,257655.2642,5170415.327,2995843.627,138504.6662,6187312.139,7300902.579,2248927.672,3057488.263,5092504.657,966172.5136,414078.5598,917772.5716,654140.0574,405446.1553,165497.2993,3167499.34,62980.29412,585252.7833,205966.1732,272757.1048,760644.5778,1861139.788,79445.1133,908114.9049,189433.7287,611990.3814,255587.0861,151355.3287,406371.9555,118137.0209,560942.6616,226274.4063,457366.3227,108244.6179,42497.36234,54547.52676,1564889.05,67711.46134,450281.5148,2067495.077,1628001.649,59581.21503,2026245.209,221003.7763,1665882.38,543001.1103,434972.0087,59764.359,137684.245,577206.8644,892726.4282,219459.813,2012085.755,286209594.1,2318732.596,252478.6323,2215635.056,4877120.961,456864.0156,21477.02272,1919184.231,63316134.85,1343827.363,510752.9007,3954805.693,504023.7412,135581.1205,10759902.68,7716658.873
4,ZOZOW1T-E15,5060508.803,199042.5383,6672437.581,6903835.773,605997.9271,135442297.1,223536.0055,189725.3164,135933.0804,107751.6618,1247719.024,239891.1087,144800.0746,302531.9045,448772.2975,3098882.632,30327.68726,388315.7024,1104835.569,790701.9821,3281113.165,494458.9254,173849.7107,4198133.554,1326576.545,268664.8055,60729.62978,1358584.951,159070.7537,7012061.707,24906.83366,2599686.196,47664.7647,434898.6171,240945.3047,97671.20239,771283.1744,292522.4258,1189155.184,275812.847,427316.0219,373362.6839,44139.97704,153145.6246,4663792.349,2727437.231,97278.29237,9442034.32,4978182.9,1008636.192,2195657.257,8381040.689,660952.5649,281668.6114,676785.3432,455579.5534,198388.15,240779.9787,2279889.082,65976.00447,432516.5855,320462.4537,259111.9253,1371680.128,659491.6849,53067.21259,694786.7116,155015.4055,397218.3333,311474.3931,203965.1965,283412.915,132989.3439,513779.7604,363518.189,442595.7813,195337.1553,130042.2043,62864.97812,847400.409,163945.355,350865.2047,2848340.138,880052.0089,170622.3355,908765.3508,554927.0459,1214670.39,334091.4243,405429.6179,93255.2235,146075.2764,510706.2863,658417.1099,393117.05,2322943.796,275920384.8,1023052.372,291276.7041,1675662.223,4459832.251,615278.908,15977.24969,1589609.42,66922843.8,1776407.779,316471.5393,2923122.138,838297.2349,192307.0508,6812810.221,7891711.921
5,ZOBX723-E11,5506167.304,262906.2792,74521590.72,11273645.93,475097.1197,89648126.29,32220.98427,150653.3554,52576.29232,19750.70285,343389.4727,556998.378,106109.8383,262161.1742,7274.994497,975747.1012,59943.67327,526479.7572,1417423.893,411332.0367,138051.7398,995548.8825,24860.51112,2467083.231,270988.1323,50881.97852,12565.05952,844883.4805,126367.25,1287144.714,55867.02732,2757819.743,107275.054,1138560.231,378810.052,79557.34218,137836.3108,20661.01981,1161281.02,144655.1345,970884.4847,252280.1867,33054.59646,2704.307392,22581223.13,1930482.695,196808.3752,17564398.93,717878.415,231747.7275,1316627.388,7943570.046,97042.56532,57529.03416,501382.4296,112776.2706,392735.2065,340173.5454,571955.5199,95406.21905,111212.2416,152271.9756,248855.7815,3265746.835,149495.6108,44931.77347,815879.3661,98204.9958,722618.8345,90961.84662,56945.0722,169467.4807,102181.4822,375931.6226,334939.1312,991338.7496,518239.6789,167532.0285,138084.8212,1557160.652,199681.7178,165969.1581,3890179.123,714035.4991,264284.9431,20511.10908,328594.087,711624.582,342343.049,443610.4145,116625.5367,121274.9755,408419.01,443578.3333,312460.7584,752302.7815,165887948.7,446988.092,208712.7875,535741.2972,2782016.369,277743.3955,18200.76914,1764532.648,45625789.32,1905121.804,622395.9027,1165526.754,1113090.252,18054.52127,340694.7953,2633765.747
6,ZOBX723-E12,5193152.659,174375.4287,62581102.42,8916290.151,426723.2162,78790083.97,10691.01207,134370.7144,52593.23464,58474.22158,298111.7661,375426.1896,110781.3136,288442.1408,102284.6851,1562004.563,265204.2924,500997.3759,1578687.779,482598.9266,214742.2504,999191.8954,595.4600548,2335835.407,1565439.699,30522.17371,5405.500328,915582.5272,90400.39322,1338498.885,45431.60659,2397558.419,106721.9694,1225224.075,595695.1751,86423.40696,57759.15149,155.0915719,658089.7534,244842.0074,1115220.795,414238.3807,34836.66083,11775.50411,15549660.32,2151458.983,191599.2246,15441927.82,515702.4096,1739126.153,1281457.128,3938118.119,54949.54027,43515.51684,882467.4656,67815.5981,318826.7642,226309.1494,397346.5338,118266.4642,64494.09921,72535.08957,231401.1128,4450734.347,1179591.999,71057.88123,884100.5555,87017.95408,930972.3454,176049.1334,17555.2951,150138.4439,77197.39802,251770.8765,176324.4497,744088.6276,607736.7983,214029.7531,173060.1366,2632988.172,137709.3673,211821.6939,3470271.953,2324652.775,268392.1396,55236.38534,133944.4323,645503.3316,1085392.315,400377.029,149059.6552,115019.8293,380052.4587,1050346.93,168692.8104,814241.3247,147053245.4,935805.7073,387994.1981,431525.5004,2588443.918,452948.6893,15879.68939,2545990.64,47717347.39,1063283.742,1164471.218,1084479.424,911301.9292,252594.9088,655179.1539,2447018.943
7,ZOBX723-E13,5596299.46,128524.9851,50220277.94,8346775.508,475602.1352,68924548.21,8500.625295,138197.5049,47935.16198,140632.0699,276054.3,323237.2822,108896.717,133390.1062,53850.53858,1499298.561,317088.7883,538783.1915,1515161.06,403555.592,278511.3006,872382.8678,197.3637151,2584587.16,1662894.886,32955.6411,9748.631965,524649.0085,35614.2147,1172174.967,35676.07187,2075817.09,101360.8896,1364821.167,303994.0192,81057.4427,57808.98171,2708.182508,568428.6432,304679.0609,1019998.861,529516.3745,27486.81883,24357.74914,12533071.45,1882594.413,189376.9223,17833844.29,520442.4598,1694160.371,1259385.8,3800436.164,55964.29798,46348.13642,667993.3308,67207.39456,252402.006,182640.7685,436750.3383,141651.4721,79606.93635,71774.57184,245550.3281,2691837.313,980542.4118,43640.24747,873477.245,93941.52523,1748040.689,213136.1586,4748.210047,149208.4379,86330.85144,175548.891,173319.987,746633.7527,270146.2104,92425.62872,131282.8345,3796432.432,140464.8939,223668.1996,3044594.321,2924807.883,142041.0798,99925.34797,54162.05065,744678.1274,1313529.986,440943.4962,144134.6328,102987.4751,315608.8935,1351433.871,169691.7794,439633.5584,121689706.7,745563.8077,576993.3841,434579.571,2775148.661,567597.3375,20047.89137,3908438.899,46410871.42,1116392.521,1518130.497,1212119.556,404166.5905,512323.424,932881.3246,1777352.274
8,ZOBX723-E14,5462379.254,190058.0388,58341871.13,10557773.55,435327.588,97386354.79,11581.71798,140488.634,52551.99784,50541.29571,312637.7656,313922.2967,101124.7803,260394.541,314185.1913,1239376.33,143136.7646,533177.8095,1564110.699,394302.9671,249996.2846,925383.0906,5997.730852,2580876.451,1608701.991,51811.39694,7454.15375,747098.2761,28172.20473,1689904.787,35016.79208,2266870.068,107486.9187,2541228.63,408519.8131,82515.03667,70478.50645,3362.628635,752879.2126,320312.6511,1043242.885,406818.4579,37526.98642,12908.21463,11977695.51,1872953.691,187768.4922,19492668.98,542492.3733,1892851.687,1434802.704,5346174.19,61065.96202,50446.70274,637343.6268,79693.35755,365484.7278,179908.0248,477249.0315,216481.6982,81426.83279,75676.73815,242405.5692,2197578.319,1215196.191,49324.26287,803162.5848,88621.1051,1892495.098,207312.0262,9789.582747,151789.8449,79195.68491,176525.0355,241704.9587,718459.2647,666174.3709,159089.0182,145625.1637,2994898.345,170305.5536,215903.2741,3696449.327,1796849.448,219780.1798,47676.88873,51656.80984,810692.8862,722935.6209,445911.1424,162289.6316,98256.86983,337736.2027,856896.2862,237348.7023,654339.4618,145800232.6,516714.225,471243.7648,461996.5156,3094690.352,593981.3306,21677.05173,3537278.119,90665033.59,1583754.638,1353582.9,1322092.168,928009.5885,1148343.966,581627.2148,2142797.272
9,ZOBX723-E15,6281818.613,178546.3257,59370722.6,10678898.06,416851.5273,84341205.81,20538.85755,153687.6043,56001.3322,18253.77215,326801.2619,403572.3657,107972.5052,315919.686,84784.68912,798452.953,124459.7024,572518.8029,1904642.589,437081.1395,128433.7507,1112853.899,19826.5593,2622276.256,1133800.77,50784.17773,3191.337312,935456.8321,20249.74135,1263263.776,30941.524,2409254.571,100640.1497,1815738.093,438281.6178,72808.76173,103256.1233,19235.85208,789076.5425,329696.7156,1022380.453,434130.428,28758.40254,3583.966118,10605410.03,1628269.067,183548.5455,17649156.09,565697.0604,941850.0196,1408852.384,4947883.845,89043.75917,51833.02763,675651.3186,94979.40359,439429.899,205316.9363,567557.9255,134252.5999,107725.7575,123932.6454,235933.3278,3529837.876,585702.4245,54707.24108,804035.2007,75479.91307,1490397.021,222479.9359,36106.04179,147002.078,76162.13155,237794.7016,223390.4009,681253.12,540446.6062,203565.0599,133115.1257,2551590.669,160350.4724,154239.9008,3117928.942,1640192.822,301849.1492,23603.40447,274633.8385,804338.8931,698506.1291,436828.6448,153306.5027,117894.151,438810.89,810942.7803,212181.0485,829630.6151,136323175.9,411664.6747,564765.9653,543863.7206,2768250.354,643470.0569,21039.24038,3248018.594,61295963.3,1645372.786,1071578.952,1284489.114,1158884.526,350373.1488,339194.817,2023509.677
