,SampleID,CPB2+Proteomics,C1QA+Proteomics,ATP11B+Proteomics,VTN+Proteomics,C8G+Proteomics,MMRN1+Proteomics,MBL2+Proteomics,SERPINA3+Proteomics,CD44+Proteomics,C9+Proteomics,APOC4+Proteomics,HPX+Proteomics,PFN1+Proteomics,RBP4+Proteomics,C1QB+Proteomics,SERPINF1+Proteomics,C5+Proteomics,SERPINA5+Proteomics,NPHP3+Proteomics,APOC1+Proteomics,MGP+Proteomics,F9+Proteomics,ACTBL2+Proteomics,AMBP+Proteomics,TFRC+Proteomics,CFH+Proteomics,IGFALS+Proteomics,APOC2+Proteomics,CPN2+Proteomics,PROS1+Proteomics,C4BPA+Proteomics,ILK+Proteomics,SERPINC1+Proteomics,A1BG+Proteomics,C8A+Proteomics,FGG+Proteomics,GPLD1+Proteomics,INPP5E+Proteomics,ITIH1+Proteomics,ENO1+Proteomics,ECM1+Proteomics,KNG1+Proteomics,ITGA2B+Proteomics,JCHAIN+Proteomics,C1RL+Proteomics,HPR+Proteomics,PRDX2+Proteomics,F2+Proteomics,SH3GL3+Proteomics,PF4+Proteomics,C6+Proteomics,SERPING1+Proteomics,RBFA+Proteomics,C2+Proteomics,ITIH2+Proteomics,FGB+Proteomics,APCS+Proteomics,PLG+Proteomics,IGHM_1+Proteomics,CFI+Proteomics,IGKV3-11+Proteomics,HBB+Proteomics,IGHV4-34+Proteomics,SERPINF2+Proteomics,ITIH4+Proteomics,F10+Proteomics,IGKV3-15+Proteomics,KIF14+Proteomics,CFB+Proteomics,TTN+Proteomics,ATRN.1+Proteomics,APOE+Proteomics,HBD+Proteomics,CLU.1+Proteomics,RYR2+Proteomics,IGLV1-47+Proteomics,PON3+Proteomics,SAA2+Proteomics,C1S+Proteomics,IGHV3-23+Proteomics,THBS1+Proteomics,ALB+Proteomics,TNNT3+Proteomics,INPP5E+Proteomics,CTTNBP2+Proteomics,ABCF1+Proteomics,SERPINA10+Proteomics,CAND1+Proteomics
0,ZOZOW1T-E11,554000.9789,2587079.576,177594.9459,19458794.5,1523519.991,5114.780371,4934.979716,14782295.67,23247.3073,1510509.681,95168.26834,109752000.8,412272.0124,2861309.247,1494260.241,1972889.878,3230670.085,413430.1277,22314.39389,4219770.188,6977.531418,282569.0638,677028.9501,10668300.26,103615.9806,14922500.85,1537669.479,3893890.813,1696149.612,1759669.43,13207096.52,109492.0047,12523200.7,11916597.24,1704439.547,173787972.6,1423599.598,101334.9982,6093551.975,1214260.053,684529.884,8215420.559,78008.2993,4607730.796,154522.9929,10058501.12,12799.99832,15178501.17,117132.9952,540137.0553,1409240.098,14618500.52,359593.8945,1711759.988,13783901.87,166288942.7,255568.0566,15385905.32,21062903.67,1979409.943,1589940.118,2543179.744,43501.90623,3858209.359,6225330.498,784897.0981,497804.9326,28134.60328,10850596.35,354421.1074,56235.71309,8371617.7,42610.10541,1146829.905,163892.0104,148250.0432,540495.095,7399.419573,1452689.559,285553.9865,229130.0258,1764920435.0,17061.7972,101334.9982,29325.95813,146001.0278,73951.10068,554501.1781
1,ZOZOW1T-E12,540423.1684,2418498.144,199169.8851,16756529.0,1532748.965,1752484.192,16400.49816,12019220.52,29877.04822,1095812.853,102996.8007,71717904.53,23913.04121,2958490.845,1217592.545,2235196.134,3146769.337,278662.6266,12013.89567,2753222.93,4592.936552,291963.8045,3888.010143,7426649.184,172428.6523,12207631.64,1617237.353,2691819.047,1447789.071,1773293.614,8767839.752,71036.35816,12432042.46,12031807.05,1459517.421,119838813.1,1618897.26,5761.105652,5575694.17,931631.568,860001.7083,6809700.891,43904.76792,3622614.854,163934.5027,1776738.585,381062.9978,13276393.87,139923.6206,290607.0143,1223658.878,13129421.37,264586.5133,1852381.727,13150278.34,99401204.63,159489.2876,9824482.599,14493272.01,1750359.704,1461238.257,176793500.9,12751.52199,3382011.184,4746293.876,1029298.501,447147.1019,3637.631789,8738716.69,16937.23377,43386.54247,6510378.543,2366412.258,929341.946,315211.3591,170269.4403,496092.6303,1946.626246,1372971.264,174217.4972,108683.9968,1953237181.0,1439.803289,5761.105652,11712.5687,97074.18033,129967.3758,95760.96034
2,ZOZOW1T-E13,489734.3959,1869654.159,182856.1976,17211505.97,1499125.777,273886.7599,13584.18131,17665362.27,32533.76119,1210070.775,111013.0688,90647255.2,29384.74992,2011220.738,1162468.345,1976915.807,3294572.856,321223.9641,13912.94296,7154750.363,5300.783858,319317.0362,49583.80683,10605578.64,113543.8468,13542586.78,1399548.449,3963792.471,1427589.733,1703853.659,11315131.38,51193.74756,14154328.78,11114271.1,1463782.731,19657547.44,1442710.099,219174.4345,5082968.995,1143028.543,652491.6889,7949925.996,49090.28765,2962759.314,133463.8962,6648834.332,164820.9379,13225601.48,128473.3858,1927834.802,1236310.764,9994271.642,321546.9769,1653257.482,14792166.16,20288234.64,386988.1863,10046572.1,17129859.71,1521075.148,1428183.574,10723183.94,54226.8595,2995281.158,5487318.934,830419.0418,122424.2642,63053.55096,9389324.9,146035.5412,3487.367176,6952594.412,261619.4,894362.3929,104710.0215,153020.9861,513156.7299,8123.951568,1282786.815,52239.37442,888412.3976,2071128615.0,29152.86397,219174.4345,466255.1063,205484.4932,47693.00284,752316.3922
3,ZOZOW1T-E14,566725.2671,2149262.103,167624.093,19592660.78,1602196.871,140324.7536,4885.523406,15126658.57,22943.21583,1159322.082,114092.1495,107010713.5,108880.7965,3117979.474,1348486.829,1979479.917,3180186.625,430260.2392,16711.68982,4857121.012,5250.867224,340154.3469,119722.9328,10783707.99,142897.386,14114160.65,1662634.935,3229322.29,1704928.728,1775655.159,13144901.54,57423.75291,14439325.34,14253175.1,1683952.484,148068549.8,1401441.41,50270.69451,6621010.557,1058551.478,694776.7736,8527373.396,44155.6368,3742731.179,180661.5542,7042469.599,33232.79469,15582571.54,129438.7451,543827.6579,1388821.735,14668825.23,334299.1127,1597317.859,14754175.85,141093863.3,217286.648,13177012.66,13577739.73,2077201.872,1498543.985,8081098.569,38377.68319,3379972.318,5926381.215,966747.7661,507958.1097,32454.7045,10958522.79,67209.61411,53694.99507,7307213.857,160611.9821,1047929.332,175966.3447,132669.7561,545742.1697,56576.29179,1381620.535,333315.7582,263954.5482,1766406206.0,21670.72801,50270.69451,7300.654038,148093.6237,88913.20024,433373.0757
4,ZOZOW1T-E15,520229.9741,2299533.843,188979.4715,18536300.48,1568365.086,407867.2093,20143.40565,17636366.17,35441.69544,1456435.116,109371.7028,105281740.2,3878.359786,2363477.992,1287445.562,2267545.391,3151309.451,397647.3415,24126.27598,7319126.247,7696.570362,311341.8524,10365.6251,11491310.5,123138.2974,14512271.34,1391751.3,4390762.289,1450812.852,1835256.142,13483016.83,55205.33216,17955095.62,12925170.72,1634468.338,144139449.5,1631604.545,218561.5357,5648318.455,1236636.446,938137.5883,9412783.619,49854.28881,3308830.595,200066.4874,3601658.589,514470.9176,14828918.01,140732.8893,547902.6288,1312803.901,11211764.42,300846.9072,1635647.007,14150502.99,142370993.3,454254.0967,13464991.66,17584000.54,1860540.03,1622874.492,19302842.82,58759.72404,4071869.798,6299168.62,489371.3105,358427.0514,100287.3421,10194799.03,843039.0888,4753.856191,7799012.322,413893.481,1152008.555,142240.2264,150384.8803,569126.5666,7422.067627,1513366.516,86056.10958,236711.4554,1774235045.0,33437.05116,218561.5357,2218633.6,154991.546,38077.4699,801348.35
5,ZOBX723-E11,455256.4716,2274329.731,200754.1102,17730132.72,1320250.265,3437670.884,59808.79373,17671485.68,28753.10224,1833285.442,136665.541,112379995.0,375176.5159,3927527.646,1328088.632,2242256.668,3528368.96,383676.2666,9600.142741,2724839.834,6953.482568,470305.9308,802048.5257,10421575.06,54989.93649,14058409.03,1415862.759,4021019.774,1133937.741,1538198.223,12561278.72,140697.7761,14392461.33,12296462.51,1547866.911,174846054.5,828826.1522,100553.934,5672605.087,1170018.572,626523.8915,6888030.021,153729.0191,3382222.172,189186.55,2261204.433,312700.0664,12503164.97,113307.9844,688448.8766,1360570.233,13449507.42,258940.3018,1742334.266,11161596.02,158458520.9,171287.4589,11704987.03,13710140.31,2098097.076,2612681.804,154106235.8,72040.97069,3772945.945,5558715.057,677790.5515,1087059.894,31358.52324,12748463.13,399232.5985,54060.2289,5135203.433,2009297.838,1267241.45,226556.2868,231384.0672,336192.9626,11444.64006,1454901.447,697222.6925,342437.2216,1668864874.0,14518.75374,100553.934,1820.804105,138513.7815,98075.82869,960336.1763
6,ZOBX723-E12,791664.7011,2670003.125,232266.2485,22557596.16,1816348.996,79849.18157,68327.56056,18119251.2,39574.12962,2120686.598,163657.4781,105160670.2,581814.6104,4350349.866,1863443.957,2794018.224,4619579.165,482035.5422,12789.12552,1864348.325,15615.48762,720640.3961,1337697.056,11688933.76,104488.1638,15828047.89,1915819.218,3871738.273,919079.4147,2124806.449,14038836.13,232229.2226,17795017.3,16672880.06,2162801.753,187292774.2,1174853.957,11425.97771,6418968.275,1383383.765,855151.1993,8304546.753,259749.2396,4257662.019,270860.4075,6056739.786,17763.52157,13513424.64,167808.934,1100028.903,1747825.833,17418656.29,293379.7969,2214991.912,14613110.88,166157940.7,276795.3152,14398148.83,15732885.96,2408928.262,3240982.949,4278845.036,79581.74979,4186171.538,6429388.061,882820.1296,1616150.364,5326.987786,15495328.45,35672.63091,65143.78836,6402571.374,117939.7079,1379228.442,307922.9773,253372.4257,510733.0873,29352.21959,1898304.503,904217.3032,456317.9879,1600194360.0,12830.50202,11425.97771,15744.37543,215826.1275,168062.6952,235299.7072
7,ZOBX723-E13,472252.8573,2335516.165,194218.3514,15166764.34,1173112.547,103667.9203,130613.0932,17339151.91,29541.1834,1602485.642,142300.3811,92804408.26,200006.8658,2423162.96,1398617.47,2203155.662,3670028.918,344014.5359,10981.59507,1974177.118,7388.982519,459103.5302,443347.9872,9884523.572,80362.78825,11780684.24,1487068.836,4634685.457,1003243.237,1593491.618,11181961.91,37627.24392,12318386.81,10850588.83,1483527.254,151659433.7,933667.9273,213275.6892,3405157.267,864639.9675,710246.3565,7013047.165,73340.88222,2691912.34,218081.8228,5549013.953,20986.15143,9967981.775,133754.6943,375608.4516,1123602.259,10359995.21,265091.3372,1859534.392,11709693.68,125774132.7,373614.2613,10702689.17,12377614.85,1737329.537,2119202.471,3897857.721,79850.842,3515235.71,4713018.782,458690.0224,471919.0878,67728.24537,10412910.25,851448.6503,10618.92023,5139761.553,150295.2616,1221210.104,128210.0652,258028.3393,303793.1891,5689.94178,1400382.978,143498.8849,133511.0847,1998443999.0,47275.98838,213275.6892,662348.0515,204624.5899,69800.02826,1561964.247
8,ZOBX723-E14,686361.926,2319254.966,203366.1445,19443707.49,1515213.858,59543.64833,57254.04489,16703070.5,29966.64601,2066259.469,159230.8113,102690679.2,251721.6885,4088386.05,1700349.634,2502224.841,3956518.302,450082.5169,12042.27209,1464198.783,11677.87376,631993.4146,525583.3327,11061394.96,90911.17348,14184087.45,1765934.007,3583679.034,1359335.365,1947159.992,13409387.45,136357.072,15100992.11,15424175.11,1839433.386,176319891.5,961515.1075,12674.66504,6039928.33,1254368.67,797265.1047,7601380.384,65983.60587,3767797.503,216546.9009,5915505.392,13509.81221,12638921.28,153535.208,414410.2036,1609063.689,15475256.65,279200.113,2128432.637,13192091.73,155448343.3,267535.3491,12982725.96,14829226.37,2113452.123,2758954.053,4876991.408,76569.91312,4241637.796,5879532.436,1228843.703,1455062.81,8819.309559,13904225.02,38366.2463,57346.18927,5571135.598,152555.0064,1271050.57,267296.2367,227223.1025,448739.9179,30293.48633,1751245.606,880754.2465,144553.0977,1724905286.0,12269.33979,12674.66504,4886.446565,198325.4092,136340.0602,342933.6622
9,ZOBX723-E15,473807.0041,2478696.151,198391.4051,15090005.54,1523396.441,101699.2842,124339.0555,17051318.92,34218.7633,1787299.527,114066.0552,94000819.6,232664.246,2763834.887,1466555.258,2318837.032,3570810.147,286906.2757,5910.004696,2013340.844,9404.072852,527477.489,123450.2301,10235015.84,65035.50829,12196382.79,1467551.804,3759579.817,1030047.902,1624224.923,12160928.09,102381.1081,14953605.06,12042069.39,1548274.666,187608506.1,935566.0602,217226.4117,4370872.912,844430.99,1154046.56,7378059.536,94755.36436,2799038.694,204240.578,4722731.218,77093.94852,10714119.82,126545.7912,562101.0561,1099350.503,10737092.18,262278.4957,1940786.514,10885618.16,164656017.9,285226.7963,10850588.83,13331723.82,1821720.25,2118864.646,4499458.637,62044.68465,3739308.317,5312501.821,462447.479,748851.4326,111973.6696,11017625.54,1141896.134,8363.493799,5158177.541,139026.4636,1204706.268,190354.6121,217286.648,340295.8425,7162.025456,1455516.739,349685.8759,254691.2728,1967668446.0,42170.60211,217226.4117,2745162.269,148597.4672,84785.50376,1361598.574
10,ZN9YTFN-E11,588343.8335,3008389.633,231194.8923,14753255.46,2385086.238,7032.876354,17067.09622,20934222.48,47726.07257,3236403.372,452183.8686,86747569.44,3450.022368,1541197.158,1608729.128,2161183.287,4383038.741,297539.1533,37288.67724,2150618.208,12197.09534,388579.4283,16167.51132,8696599.709,111130.8623,14120325.4,1635896.45,3515674.321,977461.2605,1760275.73,13454915.55,56816.4078,10762127.74,12841585.49,2457193.43,189245007.5,519196.0925,7876.232589,5423264.111,1041412.357,881035.1177,7139838.446,5758.089526,2437667.629,356553.7372,7858704.094,13669.66247,11490514.01,327233.2905,175638.5495,1829553.281,15090633.13,226165.6023,1813040.849,11068527.73,165907055.5,207468.0998,11715295.43,6173597.517,2508094.02,3543049.031,1987440.171,61425.92255,3941135.716,5228117.011,609738.0276,1942805.439,6329.430581,16339267.81,50568.45218,41034.22257,11925116.3,42920.81945,1084598.763,477542.6293,625101.0932,440728.2963,5885852.671,1843658.474,450244.7724,115570.2065,1581482011.0,12656.49228,7876.232589,4658.274691,113039.6987,59157.76797,207288.4203
11,ZN9YTFN-E12,523362.1262,4184517.934,335936.726,19531914.07,2867138.169,127262.6903,25082.24077,23633828.2,58700.69646,3665046.317,523953.7705,94113607.79,16684.10314,1495628.047,1321889.36,2726237.841,4679652.591,281895.3198,38394.44572,2317390.917,13915.25764,202249.9752,42952.06879,7310608.178,129622.802,13124780.87,1817343.876,4377785.994,975992.1375,1473463.61,10872271.1,72770.69657,10887881.99,15922681.71,2307805.165,199405505.3,680417.1598,11927.38371,5750436.338,1139200.299,985960.2784,6553799.016,11877.30191,2992624.838,403572.963,4022357.832,636301.0603,13826666.11,336468.0519,165622.5973,1853846.035,16439806.7,224121.2627,2243018.362,12247296.63,197882665.9,109895.2877,11542160.8,6821936.994,2778471.478,4870775.303,15408253.41,26263.40781,4560909.143,5723475.346,553199.3746,3222837.462,15240.60175,16351843.98,10593.26722,43883.47036,12956385.83,243408.4961,1005659.163,754802.6696,932891.6471,425264.2341,8630723.065,1869304.286,348270.8017,74330.67042,1325546376.0,20421.0581,11927.38371,2920.865073,59137.269,92533.61929,173268.5153
